                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5859,                 2.4955,                 1.7728,                0.50046,                0.48221,                0.44331,                0.18866,                 1.7311,                 7.7002,                 2.1468,             0.00023668,             0.00023668,             0.00023668
                      1,                 1.6587,                 1.8188,                  1.824,                0.46047,                0.36957,                0.38459,                0.16986,                 1.6912,                   15.1,                  2.016,             0.00046998,             0.00046998,             0.00046998
                      2,                 1.7408,                 1.8968,                 1.9061,                0.53979,                0.44664,                0.44359,                0.18602,                 1.8396,                 4.0085,                 2.1271,             0.00069857,             0.00069857,             0.00069857
                      3,                 1.6702,                 1.7741,                 1.8443,                0.67797,                0.48264,                0.56466,                0.27038,                 1.5172,                 4.9896,                   1.86,             0.00069279,             0.00069279,             0.00069279
                      4,                 1.6139,                  1.711,                 1.8047,                0.75808,                0.36364,                0.54054,                0.27341,                 1.5416,                 4.0098,                  1.819,             0.00069279,             0.00069279,             0.00069279
                      5,                  1.563,                 1.5308,                 1.7321,                0.73815,                0.63043,                0.70468,                0.35167,                 1.4865,                 5.7214,                 1.7462,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.5079,                 1.4551,                  1.695,                 0.7018,                0.64649,                0.69567,                0.36396,                 1.4601,                 2.2497,                 1.7477,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.4897,                 1.4554,                 1.6646,                0.74367,                0.64229,                0.72599,                0.36389,                 1.5463,                 2.4821,                 1.8221,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.4051,                 1.3461,                 1.6273,                0.76771,                0.67787,                0.75909,                0.41278,                 1.3713,                 1.6042,                 1.6389,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.4266,                  1.303,                 1.6214,                0.81912,                0.66227,                0.76134,                0.42988,                 1.2757,                 2.1494,                 1.5985,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.4103,                 1.3324,                 1.6032,                0.83377,                 0.6917,                0.79345,                0.44373,                 1.2948,                 1.4001,                 1.5849,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.3533,                 1.2021,                 1.5815,                0.81438,                0.71344,                0.79649,                0.43611,                 1.3336,                 1.5905,                 1.6078,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.3571,                 1.2146,                 1.5634,                0.84417,                0.70659,                0.80565,                0.46551,                 1.2493,                 1.1971,                 1.5418,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.3275,                 1.1533,                 1.5463,                0.81848,                0.72179,                0.81085,                0.46865,                 1.2775,                 1.2681,                 1.5523,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.3187,                 1.1357,                 1.5448,                0.83787,                 0.7747,                0.84337,                0.46347,                 1.2533,                 1.6125,                 1.5434,             0.00062211,             0.00062211,             0.00062211
